Class,Pos,Driver,Car,Points,Counted,Laps
,1,J*uk* L*sk*la,Audi 90 GTO,214,10,257
,2,N*el*Lu*eb*rg,Audi 90 GTO,189,10,259
,3,M*ck*y *ri*se*,Audi 90 GTO,150,10,256
,4,D*ug*Cl*ud,Audi 90 GTO,150,10,241
,5,I*n *ay*ox,Audi 90 GTO,137,10,247
,6,A*dr*as*Sc*us*er,Audi 90 GTO,133,10,208
,7,C*m *or*er,Audi 90 GTO,118,10,256
,8,A*dr*us*Va*an*ie*us,Audi 90 GTO,118,5,128
,9,A*tu*as*Ku*de*is,Audi 90 GTO,116,7,193
,10,J*sh*Br*in,Audi 90 GTO,98,9,227
,11,D*vi* B*Le*an,Audi 90 GTO,87,7,190
,12,A*dr*us*Šl*um*a,Audi 90 GTO,78,4,105
,13,J*ra* V*nh*xe,Audi 90 GTO,64,5,138
,14,E*ko*Le*ti*ie*i,Audi 90 GTO,59,5,95
,15,S*m *ko*ga*rd,Audi 90 GTO,58,9,221
,16,J*ni*Ha*ne*,Audi 90 GTO,50,3,86
,17,E*er*on*Ga*di*,Audi 90 GTO,43,4,82
,18,J* R*dr*gu*z,Audi 90 GTO,40,4,64
,19,L*nc* S*mo*,Audi 90 GTO,39,6,143
,20,T*or*en*Pa*li*,Audi 90 GTO,38,5,113
,21,F*an*o *cu*i,Audi 90 GTO,34,4,80
,22,S*m *il*in*ha*,Audi 90 GTO,33,4,89
,23,G*eg*ri* B*sc*mi,Audi 90 GTO,31,4,94
,24,P*il*pp* S*vo*e,Audi 90 GTO,28,2,44
,25,J*mi* H*me*-S*it*,Audi 90 GTO,26,4,64
,26,T*mo*hy*Re*d4,Audi 90 GTO,26,2,50
,27,H*ct*r *or*er* S*ar*z,Audi 90 GTO,25,5,125
,28,J*ck*Da*id*Sp*ck*tt,Audi 90 GTO,25,3,74
,29,R*ma*n *el*,Audi 90 GTO,24,2,61
,30,K*vi* M*Pa*ri*h,Audi 90 GTO,22,2,42
,31,T*pi*Ko*te*ie*i,Audi 90 GTO,20,1,23
,32,M*rc*s *ay*n3,Audi 90 GTO,19,2,50
,33,D*vi* G*ti*rr*z4,Audi 90 GTO,19,2,45
,34,N*ik* G*Si*mo*s,Audi 90 GTO,19,2,39
,35,A*ex*Ma*,Audi 90 GTO,18,1,35
,36,L*ke*Sm*ke*,Audi 90 GTO,18,1,22
,37,A*ri* H*gu*t,Audi 90 GTO,17,3,50
,38,P*ol* M*nn*ti,Audi 90 GTO,16,2,71
,39,A*no*d *oc*,Audi 90 GTO,15,3,60
,40,P*bl* R*ng*l2,Audi 90 GTO,14,2,36
,41,P*il*ip*Gr*ce,Audi 90 GTO,14,1,36
,42,O*e *re*ge*ei*,Audi 90 GTO,14,1,23
,43,A*ri*as*Zi*in*ka*,Audi 90 GTO,14,1,22
,44,M*gu*l *. *lc*ld*,Audi 90 GTO,14,1,16
,45,S*e *or*is,Audi 90 GTO,13,2,57
,46,A*ej*nd*o *il*a *ar*de*,Audi 90 GTO,13,2,49
,47,H*nr* K*ms*,Audi 90 GTO,12,1,36
,48,A*tu*o *ic*nt* J*én,Audi 90 GTO,11,1,35
,49,L*is*Em*rt*n,Audi 90 GTO,11,1,28
,50,K*j *an*en,Audi 90 GTO,11,1,25
,51,E*ne*to*Ro*er*,Audi 90 GTO,11,1,23
,52,S*rg*j *ra*un,Audi 90 GTO,10,2,46
,53,T*mo*hy*S *or*er,Audi 90 GTO,10,3,45
,54,M*ri* A*fr*do*,Audi 90 GTO,10,2,28
,55,S*ad* A*ma*,Audi 90 GTO,10,2,21
,56,G*ov*nn* L*re*zo*Gu*st*ll*,Audi 90 GTO,9,2,44
,57,M*ka*Tu*po*a,Audi 90 GTO,9,2,42
,58,M*rt*n *óp*z *er*án*ez,Audi 90 GTO,9,1,25
,59,J*n * V*ll*er*,Audi 90 GTO,9,1,25
,60,D*ni*o *er*an*es,Audi 90 GTO,9,1,23
,61,F*or*an*Lo*w,Audi 90 GTO,9,1,21
,62,J*ão*Ca*ri*o,Audi 90 GTO,8,1,28
,63,A*dr*w *ow*ry,Audi 90 GTO,8,1,25
,64,W*sh*ng*on*Pe*ei*a *ar*al*o,Audi 90 GTO,8,1,23
,65,E*ua*d *az*re*ko*,Audi 90 GTO,8,1,23
,66,P*dr* C*rr*sc*,Audi 90 GTO,8,1,16
,67,F*bi* L*mb*rt*,Audi 90 GTO,7,2,49
,68,T*le* M*Al*in,Audi 90 GTO,7,1,36
,69,N*al*Ke*p,Audi 90 GTO,7,1,23
,70,J*an*Jo*e *ua*ez,Audi 90 GTO,6,1,21
,71,A*be*to*Ga*ci* B*rj*,Audi 90 GTO,6,1,15
,72,B*nj*mi* L*ke,Audi 90 GTO,5,1,35
,73,V*ct*r *e *a *al*e,Audi 90 GTO,5,1,27
,74,B*un* A*ay*,Audi 90 GTO,5,1,22
,75,A*ht*n *oh*so*3,Audi 90 GTO,5,1,15
,76,S*nd*o *ce*ri,Audi 90 GTO,4,1,34
,77,M*rc*Br*on*s,Audi 90 GTO,4,1,14
,78,M*rk* N*rm*la*,Audi 90 GTO,3,1,33
,79,D*an* K*rn*gh*n,Audi 90 GTO,3,1,27
,80,T*om*s *ou*bi*r2,Audi 90 GTO,3,1,23
,81,D*ni*l *oo*e8,Audi 90 GTO,3,2,18
,82,V*ll* R*ol*,Audi 90 GTO,2,1,31
,83,L*ke*My*re,Audi 90 GTO,2,1,22
,84,J*na*ha* H*mi*to*2,Audi 90 GTO,0,1,22
,85,C*ri* P*pa*ik*la*u3,Audi 90 GTO,0,1,21
,86,M*tt*O'*el*,Audi 90 GTO,0,1,21
,87,S*rg*y *ed*to*,Audi 90 GTO,0,1,21
,88,A*dr* S*hu*ac*er,Audi 90 GTO,0,1,19
,89,J*yd*n *op*,Audi 90 GTO,0,1,15
,90,G*or*e *ar*er,Audi 90 GTO,0,1,14
,91,B*yn* H*rv*y,Audi 90 GTO,0,1,9
,92,I*aa* T*va*,Audi 90 GTO,0,1,7
,93,P*ul*Cu*le*,Audi 90 GTO,0,1,6
,94,J*e *ir*,Audi 90 GTO,0,1,5
,95,S*mi*Ju*on*n,Audi 90 GTO,0,1,4
,96,N*ck*La*cs,Audi 90 GTO,0,1,4
,97,D*eg* G*me*-T*vi*a,Audi 90 GTO,0,1,3
,98,Z*mf*r *ad*-O*im*iu,Audi 90 GTO,0,1,2
