Class,Pos,Driver,Car,Points,Counted
,1,F*bi*n *un*bl*th,Nissan GTP ZX-T,177,10
,2,T*om*s *us*an*n,Nissan GTP ZX-T,139,6
,3,J*vi*r *el*Ol*o,Nissan GTP ZX-T,125,10
,4,F*rr*n *. *ra*,Nissan GTP ZX-T,121,10
,5,T*mo*hy*Re*d4,Nissan GTP ZX-T,116,8
,6,L*us* O*se*,Nissan GTP ZX-T,113,10
,7,A*to* S*nt*s-*al*nd*,Nissan GTP ZX-T,111,10
,8,J*ck*We*ls*,Nissan GTP ZX-T,103,9
,9,B*en*an*Li*,Nissan GTP ZX-T,100,10
,10,G*o *or*es*,Nissan GTP ZX-T,90,4
,11,M*rt*n *re*ci*ik,Nissan GTP ZX-T,86,10
,12,M*th*as*Ha*da*,Nissan GTP ZX-T,86,5
,13,T*mo*hy*Va*gh*n,Nissan GTP ZX-T,80,5
,14,T*eo*or* B*rn*,Nissan GTP ZX-T,79,4
,15,A*dr*us*Va*an*ie*us,Nissan GTP ZX-T,72,4
,16,A*ex*nd*r *an*de*Sa*dt,Nissan GTP ZX-T,68,9
,17,G*st*n *an*ar*ll*,Nissan GTP ZX-T,60,9
,18,S*ép*an* L*sl*,Nissan GTP ZX-T,56,7
,19,A*ro* H*mp*re*4,Nissan GTP ZX-T,55,7
,20,X*bi*r *an*he*,Nissan GTP ZX-T,52,4
,21,S*ad* A*ma*,Nissan GTP ZX-T,51,9
,22,E*ol*Lu*s,Nissan GTP ZX-T,47,4
,23,I*n *hi*ip*Jo*ns*n,Nissan GTP ZX-T,46,8
,24,D*la* F*ec*el*on,Nissan GTP ZX-T,42,6
,25,R*ul*Ro*es*Gu*rd*a,Nissan GTP ZX-T,40,2
,26,D*st*n *er*öd*r,Nissan GTP ZX-T,38,3
,27,C*rl*s *on*ec*,Nissan GTP ZX-T,32,8
,28,I*an*En*iq*e *la,Nissan GTP ZX-T,32,6
,29,R*ma*n *el*,Nissan GTP ZX-T,32,8
,30,F*rn*nd* C*rr*to,Nissan GTP ZX-T,31,4
,31,S*ea*us*Po*er,Nissan GTP ZX-T,31,2
,32,H*nr*k *äm*rä,Nissan GTP ZX-T,30,7
,33,Á*on*Ba*ta,Nissan GTP ZX-T,30,3
,34,F*bi*n *er*sc*ew*ki,Nissan GTP ZX-T,28,7
,35,J*vi*r *os*ue*a,Nissan GTP ZX-T,24,3
,36,A*tu*as*Ku*de*is,Nissan GTP ZX-T,24,2
,37,M*tt*ew*Co*ke*ha*,Nissan GTP ZX-T,22,3
,38,A*fo*so*Fe*na*de*5,Nissan GTP ZX-T,22,2
,39,J*ck*Da*id*Sp*ck*tt,Nissan GTP ZX-T,22,2
,40,A*ex*Ot*,Nissan GTP ZX-T,22,1
,41,J*so* C*ap*er,Nissan GTP ZX-T,21,3
,42,A*to*io*Al*ar*z,Nissan GTP ZX-T,20,2
,43,A*ej*nd*o *ar*ín*de*Mi*ue*,Nissan GTP ZX-T,19,6
,44,W*ll* S*hw*ba*er,Nissan GTP ZX-T,19,2
,45,A*J.*Ro*er,Nissan GTP ZX-T,18,4
,46,J*uk* L*sk*la,Nissan GTP ZX-T,18,1
,47,F*an*is*o *es*re*,Nissan GTP ZX-T,16,5
,48,P*bl* L* S*ár*z,Nissan GTP ZX-T,16,3
,49,G*br*el*He*re*o2,Nissan GTP ZX-T,16,1
,50,K*mu*o *uj*wa*a,Nissan GTP ZX-T,14,1
,51,A*ri*n *ri*a *ob*in*,Nissan GTP ZX-T,14,1
,52,M*tt*Me*d,Nissan GTP ZX-T,14,1
,53,D*ri* V*co,Nissan GTP ZX-T,13,1
,54,K*vi* M*Pa*ri*h,Nissan GTP ZX-T,12,1
,55,C*ri* M*dm*rk,Nissan GTP ZX-T,12,1
,56,G*rm*n *uá*ez,Nissan GTP ZX-T,12,1
,57,J*se*Co*de,Nissan GTP ZX-T,11,2
,58,J*ff*ey*Fu*co*,Nissan GTP ZX-T,11,2
,59,H*mi*to* B*rr*ra*Ru*z,Nissan GTP ZX-T,11,1
,60,T*go*Hi*ad*,Nissan GTP ZX-T,11,1
,61,J*mm* B*oa*be*t,Nissan GTP ZX-T,11,1
,62,M*nu*Ca*as*ov*s,Nissan GTP ZX-T,10,2
,63,D*ni*l *ra*,Nissan GTP ZX-T,10,1
,64,B*nj*mi* T*ss*ra*d,Nissan GTP ZX-T,10,1
,65,R*b *wi*de*ls,Nissan GTP ZX-T,10,1
,66,E*ag*ra* P*pa*av*as,Nissan GTP ZX-T,10,1
,67,K*rt*Cl*pp*r,Nissan GTP ZX-T,9,3
,68,L*rs*Br*gm*n,Nissan GTP ZX-T,9,1
,69,B*n *um*er*,Nissan GTP ZX-T,8,2
,70,O*er*Za*al*oa,Nissan GTP ZX-T,8,3
,71,V*ct*r *ha*or*o,Nissan GTP ZX-T,8,2
,72,K*ns*an*in*Ko*al,Nissan GTP ZX-T,8,1
,73,T*om*s *eh*er,Nissan GTP ZX-T,7,1
,74,R*de* S*ko*a,Nissan GTP ZX-T,7,1
,75,A*de*s *an*be*g,Nissan GTP ZX-T,7,1
,76,E*ol*Al*ns*,Nissan GTP ZX-T,6,1
,77,M*rc*To*re* E*pó*it*,Nissan GTP ZX-T,6,2
,78,H*rr* W*ir,Nissan GTP ZX-T,6,1
,79,J*e *al*er,Nissan GTP ZX-T,6,1
,80,T*m *hi*li*s,Nissan GTP ZX-T,5,6
,81,J*se*M *el*ad*,Nissan GTP ZX-T,5,1
,82,P*l *er*er,Nissan GTP ZX-T,4,2
,83,M*nu*Za*at* P*re*,Nissan GTP ZX-T,4,1
