Class,Pos,Driver,Car,Points,Counted
,1,A*dr*us*Šl*um*a,Audi 90 GTO,184,9
,2,M*ck*y *ri*se*,Audi 90 GTO,167,9
,3,J*ra* V*nh*xe,Audi 90 GTO,153,9
,4,N*el*Lu*eb*rg,Audi 90 GTO,152,8
,5,A*dr*us*Va*an*ie*us,Audi 90 GTO,140,6
,6,A*dr*as*Sc*us*er,Audi 90 GTO,119,8
,7,A*tu*as*Ku*de*is,Audi 90 GTO,110,7
,8,J*sh*Br*in,Audi 90 GTO,104,9
,9,C*m *or*er,Audi 90 GTO,100,9
,10,D*ug*Cl*ud,Audi 90 GTO,88,9
,11,J*ck*Da*id*Sp*ck*tt,Audi 90 GTO,76,5
,12,R*ma*n *el*,Audi 90 GTO,71,9
,13,T*or*en*Pa*li*,Audi 90 GTO,70,9
,14,S*m *ko*ga*rd,Audi 90 GTO,54,9
,15,B*oe*n *ck*rm*nn,Audi 90 GTO,41,8
,16,A*fo*so*Fe*na*de*5,Audi 90 GTO,36,3
,17,H*ct*r *or*er* S*ar*z,Audi 90 GTO,35,6
,18,T*mo*hy*Re*d4,Audi 90 GTO,31,3
,19,D*vi* G*ti*rr*z4,Audi 90 GTO,28,2
,20,D*vi* B*Le*an,Audi 90 GTO,25,3
,21,E*er*on*Ga*di*,Audi 90 GTO,25,2
,22,I*n *hi*ip*Jo*ns*n,Audi 90 GTO,24,6
,23,F*an*oi* D*me*s,Audi 90 GTO,22,2
,24,J*ri*Wi*st*öm,Audi 90 GTO,22,2
,25,N*ls*Co*r,Audi 90 GTO,22,1
,26,P*bl* R*ng*l2,Audi 90 GTO,21,4
,27,K*vi* B*nk*ey,Audi 90 GTO,21,2
,28,Z*mf*r *ad*-O*im*iu,Audi 90 GTO,20,1
,29,J*mi* H*me*-S*it*,Audi 90 GTO,19,6
,30,S*rg*j *ra*un,Audi 90 GTO,18,1
,31,K*nn*th*Ol*ve,Audi 90 GTO,18,1
,32,M*x *ar*ec*in,Audi 90 GTO,15,4
,33,R*be*t *oa*er,Audi 90 GTO,15,1
,34,F*bi* S*hl,Audi 90 GTO,15,1
,35,A*ex*Ma*,Audi 90 GTO,14,2
,36,J*an*Ca*lo* C*rd*ir* G*nÃ*al*z,Audi 90 GTO,14,2
,37,A*ri*as*Zi*in*ka*,Audi 90 GTO,13,1
,38,A*ta* H*rk,Audi 90 GTO,12,1
,39,S*ép*an* L*sl*,Audi 90 GTO,12,1
,40,J*re*y * D*Mc*ro*y,Audi 90 GTO,12,1
,41,J*an*Ma*ti,Audi 90 GTO,11,1
,42,F*bi* D*mm,Audi 90 GTO,11,1
,43,M*ch*el*Ha*ne*,Audi 90 GTO,10,4
,44,C*ri* Y*tt*to,Audi 90 GTO,10,1
,45,J* R*dr*gu*z,Audi 90 GTO,10,1
,46,N*na* I*an*vi*,Audi 90 GTO,10,1
,47,B*nj*mi* L*ke,Audi 90 GTO,9,1
,48,D*ni*l *el*,Audi 90 GTO,9,1
,49,M*rc*s *ay*n,Audi 90 GTO,9,2
,50,N*ck*La*cs,Audi 90 GTO,9,1
,51,D*vi* B*an*oM*,Audi 90 GTO,9,1
,52,D*vi* V*ns*am*ro*ck,Audi 90 GTO,8,1
,53,s*ba*ti*n *an*De* C*yl*n,Audi 90 GTO,8,1
,54,R*ph*el*So*za*,Audi 90 GTO,8,1
,55,N*al*Ke*p,Audi 90 GTO,8,1
,56,J*sé*Ma*er*,Audi 90 GTO,7,2
,57,P*il*pp* S*vo*e,Audi 90 GTO,7,1
,58,A*ht*n *oh*so*3,Audi 90 GTO,7,2
,59,M*ch*el*Ca*pe*te*2,Audi 90 GTO,7,1
,60,D*vi* C*nc*al*s,Audi 90 GTO,7,1
,61,B*no*t *av*nn*,Audi 90 GTO,6,1
,62,M*rk*Da*ne*l,Audi 90 GTO,6,1
,63,P*il*pp* M*ur*er*,Audi 90 GTO,6,1
,64,M*ch*el*Ba*di*i,Audi 90 GTO,6,1
,65,B*u * S*lv*,Audi 90 GTO,6,1
,66,I*n *ay*ox,Audi 90 GTO,6,1
,67,T*mo*hy*S *or*er,Audi 90 GTO,5,2
,68,B*ad*ey*Gr*ha*3,Audi 90 GTO,5,1
,69,K*j-*ri*ti*n *os*nq*is*,Audi 90 GTO,5,1
,70,H*go*Si*ms*n,Audi 90 GTO,4,1
,71,L*on*Ha*ho*f,Audi 90 GTO,4,1
,72,A*ex*nd*r *ra*,Audi 90 GTO,4,1
,73,F*rn*nd* M*tt*s,Audi 90 GTO,3,3
,74,T*av*s *ap*in*s,Audi 90 GTO,3,1
,75,M*ks*m *om*a,Audi 90 GTO,3,1
,76,K*vi* S*bs*n,Audi 90 GTO,2,1
,77,R*nn*e *et*rs*n,Audi 90 GTO,2,1
,78,J*sh*a *al*o,Audi 90 GTO,2,1
,79,J*an*Jo*e *ua*ez,Audi 90 GTO,1,2
,80,J*e *ar*el,Audi 90 GTO,1,1
,81,F*br*zi* R*ff*,Audi 90 GTO,1,1
,82,F*rr*n *. *ra*,Audi 90 GTO,0,1
,83,K*rl*St*ne*if*r,Audi 90 GTO,0,1
,84,T*is*an*Pi*er,Audi 90 GTO,0,1
,85,N*ah*Fr*dl*nd,Audi 90 GTO,0,1
,86,A*no*d *oc*,Audi 90 GTO,0,1
,87,S*ad* A*ma*,Audi 90 GTO,0,1
,88,J*n-*aa* D* V*s,Audi 90 GTO,0,1
,89,G*ov*nn* L*re*zo*Gu*st*ll*,Audi 90 GTO,0,1
,90,Y*nn*ck*Ch*uv*n,Audi 90 GTO,0,1
,91,F*an*oi* S*in*,Audi 90 GTO,0,1
,92,J* M*Co*,Audi 90 GTO,0,1
,93,G*eg*ry*Wo*ds,Audi 90 GTO,0,1
,94,J*me* F*el*s3,Audi 90 GTO,0,1
,95,M*ka*Tu*po*a,Audi 90 GTO,0,1
,96,M*rt*n *óp*z *er*án*ez,Audi 90 GTO,0,1
,97,P*te* B*an*,Audi 90 GTO,0,1
,98,N*kl*s *im*er*an*,Audi 90 GTO,0,1
,99,O*ai*a *ab*ri*,Audi 90 GTO,0,1
,100,K*ke*Me*gu*l,Audi 90 GTO,0,1
,101,R*an*M *lm*re,Audi 90 GTO,0,1
