Class,Pos,Driver,Car,Points,Counted,Laps
,1,A*to* S*nt*s-*al*nd*,Nissan GTP ZX-T,152,9,259
,2,F*bi*n *un*bl*th,Nissan GTP ZX-T,149,9,235
,3,D*st*n *er*öd*r,Nissan GTP ZX-T,149,9,208
,4,B*en*an*Li*,Nissan GTP ZX-T,127,9,211
,5,A*ex*nd*r *an*de*Sa*dt,Nissan GTP ZX-T,117,7,133
,6,J*vi*r *el*Ol*o,Nissan GTP ZX-T,103,9,227
,7,A*dr*us*Va*an*ie*us,Nissan GTP ZX-T,100,4,88
,8,S*ea*us*Po*er,Nissan GTP ZX-T,94,7,178
,9,M*rt*n *re*ci*ik,Nissan GTP ZX-T,84,8,209
,10,R*ul*Ro*es*Gu*rd*a,Nissan GTP ZX-T,62,6,113
,11,T*mo*hy*Re*d4,Nissan GTP ZX-T,53,6,117
,12,F*rr*n *. *ra*,Nissan GTP ZX-T,49,4,103
,13,V*ct*r *od*ig*ez,Nissan GTP ZX-T,48,3,93
,14,A*J.*Ro*er,Nissan GTP ZX-T,45,5,138
,15,J*ck*We*ls*,Nissan GTP ZX-T,43,5,101
,16,E*ic*Ni*th,Nissan GTP ZX-T,40,2,44
,17,A*ro* H*mp*re*4,Nissan GTP ZX-T,36,5,88
,18,M*ch*el*De*ur*k,Nissan GTP ZX-T,36,2,49
,19,C*rl*s *on*ec*,Nissan GTP ZX-T,33,6,139
,20,E*er*on*Ga*di*,Nissan GTP ZX-T,32,4,90
,21,I*án*Ol*si*ju* A*us*,Nissan GTP ZX-T,31,3,51
,22,Á*on*Ba*ta,Nissan GTP ZX-T,30,3,78
,23,E*ol*Lu*s,Nissan GTP ZX-T,30,3,70
,24,L*us* O*se*,Nissan GTP ZX-T,29,8,133
,25,D*vi* F*ns*h,Nissan GTP ZX-T,27,3,109
,26,J*uk* L*sk*la,Nissan GTP ZX-T,27,2,44
,27,M*tt*ew*Co*ke*ha*,Nissan GTP ZX-T,25,5,118
,28,K*vi* M*Pa*ri*h,Nissan GTP ZX-T,25,2,79
,29,B*n *um*er*,Nissan GTP ZX-T,22,3,78
,30,T*mo*hy*Va*gh*n,Nissan GTP ZX-T,22,2,40
,31,B*an*on*Ro*eb*ro*gh,Nissan GTP ZX-T,22,1,21
,32,D*ni*l *om*z *,Nissan GTP ZX-T,22,1,18
,33,M*nu*l *er*ej* B*re*,Nissan GTP ZX-T,22,1,6
,34,I*n *ay*ox,Nissan GTP ZX-T,20,3,71
,35,J*ny* H*nm*,Nissan GTP ZX-T,20,2,53
,36,H*mi*to* B*rr*ra*Ru*z,Nissan GTP ZX-T,20,2,11
,37,S*m *il*in*ha*,Nissan GTP ZX-T,19,2,62
,38,A*fo*so*Fe*na*de*5,Nissan GTP ZX-T,19,3,41
,39,G*vi* R*pc*an,Nissan GTP ZX-T,18,4,91
,40,Z*ch*ry*Bu*ha*an,Nissan GTP ZX-T,18,3,73
,41,J*sú* S*nc*ez*Mo*al*s,Nissan GTP ZX-T,18,2,64
,42,L*nc* S*mo*,Nissan GTP ZX-T,18,3,43
,43,S*an*La*gt*n,Nissan GTP ZX-T,18,1,6
,44,M*tt*Ma*on*,Nissan GTP ZX-T,16,1,35
,45,M*tc*el* W*lk*r,Nissan GTP ZX-T,16,1,31
,46,X*bi*r *an*he*,Nissan GTP ZX-T,15,2,47
,47,S*ot* L*ar,Nissan GTP ZX-T,15,2,27
,48,D*la* F*ec*el*on,Nissan GTP ZX-T,14,3,44
,49,E*ga* A*on*o,Nissan GTP ZX-T,14,1,20
,50,R*le* T*om*so*,Nissan GTP ZX-T,14,1,18
,51,F*rn*nd* C*rr*to,Nissan GTP ZX-T,14,2,7
,52,E*ua* J*ra*il*o2,Nissan GTP ZX-T,14,1,6
,53,G*rm*n *uá*ez,Nissan GTP ZX-T,12,1,44
,54,S*mi*Ju*on*n,Nissan GTP ZX-T,12,2,27
,55,A*te* T*if*no*,Nissan GTP ZX-T,11,1,17
,56,E*ol*Al*ns*,Nissan GTP ZX-T,10,1,35
,57,A*la* B*et*au,Nissan GTP ZX-T,10,1,31
,58,B*rn* H*he*si*ge*,Nissan GTP ZX-T,10,1,22
,59,J*an*a *or*an*,Nissan GTP ZX-T,10,1,20
,60,A*no*d *oc*,Nissan GTP ZX-T,9,1,22
,61,D*ni*l *im*s,Nissan GTP ZX-T,9,1,20
,62,M*th*w *el*on*,Nissan GTP ZX-T,9,1,17
,63,X*vi*r *ac*,Nissan GTP ZX-T,9,1,6
,64,M*lt* S*hn*id*r,Nissan GTP ZX-T,8,3,53
,65,J*me* K*li*ow*ki*,Nissan GTP ZX-T,8,1,22
,66,D*ni*l *ch*lt*,Nissan GTP ZX-T,8,1,6
,67,C*rl*Gi*ng*an*e,Nissan GTP ZX-T,8,1,6
,68,A*to*io*Al*ar*z,Nissan GTP ZX-T,7,3,30
,69,K*ns*an*in*Ko*al,Nissan GTP ZX-T,7,1,22
,70,A*e *ll*n,Nissan GTP ZX-T,7,1,21
,71,N*ch*la* M*re*li*,Nissan GTP ZX-T,7,1,20
,72,C*rl*s *du*rd* F*rn*nd*z *ue*ra,Nissan GTP ZX-T,7,1,14
,73,J*me* N*nn,Nissan GTP ZX-T,6,1,34
,74,L*ga* E*wa*ds,Nissan GTP ZX-T,6,1,27
,75,T*ur*s *os*er*,Nissan GTP ZX-T,6,1,21
,76,E*ne*to*Me*en*ez*II*,Nissan GTP ZX-T,6,1,20
,77,N*th*n *ee*ty,Nissan GTP ZX-T,6,1,6
,78,R*be*t *lu*le*,Nissan GTP ZX-T,6,1,6
,79,B*ro* L*ng,Nissan GTP ZX-T,5,3,47
,80,J*vi*r *ot*,Nissan GTP ZX-T,5,2,44
,81,M*rt*n *al*as,Nissan GTP ZX-T,5,1,34
,82,N*ik* G*Si*mo*s,Nissan GTP ZX-T,5,1,21
,83,M*rk*s *eu*ze*,Nissan GTP ZX-T,4,1,22
,84,J*ke*Wi*li*m,Nissan GTP ZX-T,4,1,21
,85,R*b *ro*os*al*ki,Nissan GTP ZX-T,4,1,20
,86,T*m *hi*li*s,Nissan GTP ZX-T,3,5,120
,87,R*dr*go*Mi*an*a,Nissan GTP ZX-T,3,1,43
,88,S*ép*an* L*sl*,Nissan GTP ZX-T,3,2,22
,89,D*nn*s *ei*r,Nissan GTP ZX-T,3,1,21
,90,S*rg* V*ño*as,Nissan GTP ZX-T,3,1,20
,91,E*vi* N*hi*,Nissan GTP ZX-T,3,1,6
,92,P*ul* O*iv*ir*13,Nissan GTP ZX-T,2,1,21
,93,R*de* T*em*ač,Nissan GTP ZX-T,2,1,6
,94,F*an*es* A*dr*s *ia*,Nissan GTP ZX-T,1,2,45
,95,P*il*pp* S*vo*e,Nissan GTP ZX-T,1,1,43
,96,E*ij*h *lo*t,Nissan GTP ZX-T,1,1,32
,97,I*na*io*Ta*az*na*,Nissan GTP ZX-T,1,1,20
,98,S*rg*o *lo*so*Go*ez,Nissan GTP ZX-T,0,3,60
,99,D*eg* B*rr*ir* H*vi*,Nissan GTP ZX-T,0,4,49
,100,S*rg*y *om*no*,Nissan GTP ZX-T,0,1,42
,101,I*di*a *on*ad*ra,Nissan GTP ZX-T,0,1,38
,102,M*rt*n *e *a *oz,Nissan GTP ZX-T,0,1,36
,103,R*y *re*it*2,Nissan GTP ZX-T,0,1,32
,104,O*ca* P*ad*,Nissan GTP ZX-T,0,1,32
,105,J*ym*s *el*in,Nissan GTP ZX-T,0,1,26
,106,S*lv*do* S*la*,Nissan GTP ZX-T,0,1,26
,107,B*la* A*at*ke*,Nissan GTP ZX-T,0,1,24
,108,R*ch*rd*De*ps*y3,Nissan GTP ZX-T,0,1,22
,109,L*ca* M*zz*er*,Nissan GTP ZX-T,0,1,21
,110,C*is*ia*o *or*ai*i,Nissan GTP ZX-T,0,1,21
,111,C*ri*to*he* R*ag*n,Nissan GTP ZX-T,0,1,21
,112,A*be*t *al*hi,Nissan GTP ZX-T,0,1,21
,113,H*nk*Sw*ne*oe*2,Nissan GTP ZX-T,0,1,20
,114,A*ex*nd*r *oo*3,Nissan GTP ZX-T,0,1,20
,115,F*an* P*pp*l,Nissan GTP ZX-T,0,1,19
,116,I*an*En*iq*e *la,Nissan GTP ZX-T,0,1,18
,117,C*rl*s *lv*re* B*ne*i,Nissan GTP ZX-T,0,2,18
,118,B*nn*tt*Al*en,Nissan GTP ZX-T,0,1,17
,119,D*nn* S*it*er,Nissan GTP ZX-T,0,1,17
,120,S*mo* M*Ro*ss*au,Nissan GTP ZX-T,0,1,17
,121,T*pa*i *in*al*ot*,Nissan GTP ZX-T,0,1,16
,122,J*an*Jo*e *ua*ez,Nissan GTP ZX-T,0,2,14
,123,F*rn*nd* M*de*La*a,Nissan GTP ZX-T,0,1,13
,124,M*gu*l *ér*z *de*a,Nissan GTP ZX-T,0,1,12
,125,T*eu*Ph*li*pe*s,Nissan GTP ZX-T,0,1,12
,126,T*en* N*la*,Nissan GTP ZX-T,0,1,11
,127,I*ra*l *er*an*es,Nissan GTP ZX-T,0,1,9
,128,S*e *or*is,Nissan GTP ZX-T,0,1,9
,129,M*gu*l *en*o,Nissan GTP ZX-T,0,1,8
,130,S*ad* A*ma*,Nissan GTP ZX-T,0,2,8
,131,A*be*to*De*Mi*he*i,Nissan GTP ZX-T,0,1,8
,132,F*an*Ri*as,Nissan GTP ZX-T,0,1,6
,133,O*ca* S*an*on,Nissan GTP ZX-T,0,1,6
,134,S*m *en*en,Nissan GTP ZX-T,0,1,6
,135,L*ka*Ge*sm*nn,Nissan GTP ZX-T,0,1,6
,136,Y*is*n *am*re*5,Nissan GTP ZX-T,0,1,5
,137,C*ri*ti*n * D*az,Nissan GTP ZX-T,0,1,5
,138,H*rn*y *ue*ad*,Nissan GTP ZX-T,0,1,5
,139,K*is*of*Ge*ge*y *ak*s,Nissan GTP ZX-T,0,1,4
,140,F*or*an*Kn*ef*er,Nissan GTP ZX-T,0,1,4
,141,L*ne*Do*le,Nissan GTP ZX-T,0,1,4
,142,P*ul*La*ma*2,Nissan GTP ZX-T,0,1,3
,143,M*tt*Ta*e2,Nissan GTP ZX-T,0,1,3
,144,J* W*ll*am*2,Nissan GTP ZX-T,0,1,2
,145,A*ri*n *as*ø *ul*es*id,Nissan GTP ZX-T,0,1,2
,146,B*un* A*ay*,Nissan GTP ZX-T,0,1,2
,147,D*vi* V*la*qu*z,Nissan GTP ZX-T,0,1,2
,148,E*il*o *ra*er*,Nissan GTP ZX-T,0,1,1
,149,V*ct*r *od*ig*ez*Ca*re*a,Nissan GTP ZX-T,0,1,1
,150,U*ai*Or*iz,Nissan GTP ZX-T,0,1,0
,151,V*ji* G*ji*,Nissan GTP ZX-T,0,1,0
